,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,<1H OCEAN,INLAND,ISLAND,NEAR BAY,NEAR OCEAN,rooms_per_household,rooms_per_person
0,-122.23,37.88,41.0,880.0,129.0,322.0,126.0,8.3252,452600.0,0.0,0.0,0.0,1.0,0.0,6.984126984126984,2.732919254658385
1,-122.22,37.86,21.0,7099.0,1106.0,2401.0,1138.0,8.3014,358500.0,0.0,0.0,0.0,1.0,0.0,6.238137082601054,2.9566847147022073
2,-122.24,37.85,52.0,1467.0,190.0,496.0,177.0,7.2574,352100.0,0.0,0.0,0.0,1.0,0.0,8.288135593220339,2.9576612903225805
3,-122.25,37.85,52.0,1274.0,235.0,558.0,219.0,5.6431,341300.0,0.0,0.0,0.0,1.0,0.0,5.8173515981735155,2.283154121863799
4,-122.25,37.85,52.0,1627.0,280.0,565.0,259.0,3.8462,342200.0,0.0,0.0,0.0,1.0,0.0,6.281853281853282,2.879646017699115
5,-122.25,37.85,52.0,919.0,213.0,413.0,193.0,4.0368,269700.0,0.0,0.0,0.0,1.0,0.0,4.761658031088083,2.225181598062954
6,-122.25,37.84,52.0,2535.0,489.0,1094.0,514.0,3.6591,299200.0,0.0,0.0,0.0,1.0,0.0,4.9319066147859925,2.3171846435100547
7,-122.25,37.84,52.0,3104.0,687.0,1157.0,647.0,3.12,241400.0,0.0,0.0,0.0,1.0,0.0,4.797527047913447,2.6828003457216942
8,-122.26,37.84,42.0,2555.0,665.0,1206.0,595.0,2.0804,226700.0,0.0,0.0,0.0,1.0,0.0,4.294117647058823,2.1185737976782755
9,-122.25,37.84,52.0,3549.0,707.0,1551.0,714.0,3.6912,261100.0,0.0,0.0,0.0,1.0,0.0,4.970588235294118,2.288201160541586
10,-122.26,37.85,52.0,2202.0,434.0,910.0,402.0,3.2031,281500.0,0.0,0.0,0.0,1.0,0.0,5.477611940298507,2.4197802197802196
11,-122.26,37.85,52.0,3503.0,752.0,1504.0,734.0,3.2705,241800.0,0.0,0.0,0.0,1.0,0.0,4.772479564032698,2.329122340425532
12,-122.26,37.85,52.0,2491.0,474.0,1098.0,468.0,3.075,213500.0,0.0,0.0,0.0,1.0,0.0,5.322649572649572,2.268670309653916
13,-122.26,37.84,52.0,696.0,191.0,345.0,174.0,2.6736,191300.0,0.0,0.0,0.0,1.0,0.0,4.0,2.017391304347826
14,-122.26,37.85,52.0,2643.0,626.0,1212.0,620.0,1.9167,159200.0,0.0,0.0,0.0,1.0,0.0,4.262903225806451,2.1806930693069306
15,-122.26,37.85,50.0,1120.0,283.0,697.0,264.0,2.125,140000.0,0.0,0.0,0.0,1.0,0.0,4.242424242424242,1.6068866571018652
16,-122.27,37.85,52.0,1966.0,347.0,793.0,331.0,2.775,152500.0,0.0,0.0,0.0,1.0,0.0,5.9395770392749245,2.479192938209332
17,-122.27,37.85,52.0,1228.0,293.0,648.0,303.0,2.1202,155500.0,0.0,0.0,0.0,1.0,0.0,4.052805280528053,1.8950617283950617
18,-122.26,37.84,50.0,2239.0,455.0,990.0,419.0,1.9911,158700.0,0.0,0.0,0.0,1.0,0.0,5.343675417661098,2.2616161616161614
19,-122.27,37.84,52.0,1503.0,298.0,690.0,275.0,2.6033,162900.0,0.0,0.0,0.0,1.0,0.0,5.465454545454546,2.1782608695652175
20,-122.27,37.85,40.0,751.0,184.0,409.0,166.0,1.3578,147500.0,0.0,0.0,0.0,1.0,0.0,4.524096385542169,1.8361858190709046
21,-122.27,37.85,42.0,1639.0,367.0,929.0,366.0,1.7135,159800.0,0.0,0.0,0.0,1.0,0.0,4.478142076502732,1.7642626480086114
22,-122.27,37.84,52.0,2436.0,541.0,1015.0,478.0,1.725,113900.0,0.0,0.0,0.0,1.0,0.0,5.096234309623431,2.4
