Attrition,Gender,Missing_Income,Income_Category,Missing_Education,Education_Level,Card_Category,Marital_Divorced,Marital_Married,Marital_Single,Marital_Unknown,Customer_Age,Credit_Limit,Months_on_book,Avg_Utilization_Ratio,Avg_Open_To_Buy,Total_Trans_Amt,Dependent_count,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Total_Revolving_Bal,Total_Amt_Chng_Q4_Q1,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1
0,1,0,3,0,2,1,0,1,0,0,45,12691.0,39,0.061,11914.0,1144,3,5,1,3,777,1.335,42,1.625
0,0,0,1,0,4,1,0,0,1,0,49,8256.0,44,0.105,7392.0,1291,5,6,1,2,864,1.541,33,3.714
0,1,0,4,0,4,1,0,1,0,0,51,3418.0,36,0.0,3418.0,1887,3,4,1,0,0,2.594,20,2.333
0,0,0,1,0,2,1,0,0,0,1,40,3313.0,34,0.76,796.0,1171,4,3,4,1,2517,1.405,20,2.333
0,1,0,3,0,1,1,0,1,0,0,40,4716.0,21,0.0,4716.0,816,3,5,1,0,0,2.175,28,2.5
0,1,0,2,0,4,1,0,1,0,0,44,4010.0,36,0.311,2763.0,1088,2,3,1,2,1247,1.376,24,0.846
0,1,0,5,1,4,2,0,1,0,0,51,34516.0,46,0.066,32252.0,1330,4,6,1,3,2264,1.975,31,0.722
0,1,0,3,0,2,4,0,0,0,1,32,29081.0,27,0.048,27685.0,1538,0,2,2,2,1396,2.204,36,0.7140000000000001
0,1,0,3,0,1,1,0,0,1,0,37,22352.0,36,0.113,19835.0,1350,3,5,2,0,2517,3.355,24,1.182
0,1,0,4,0,4,1,0,0,1,0,48,11656.0,36,0.14400000000000002,9979.0,1441,2,6,3,3,1677,1.524,32,0.882
0,1,0,5,0,1,1,0,0,0,1,42,6748.0,31,0.217,5281.0,1201,5,5,3,2,1467,0.831,42,0.68
0,1,0,2,1,4,1,0,1,0,0,65,9095.0,54,0.174,7508.0,1314,1,6,2,3,1587,1.433,26,1.364
0,1,0,4,0,3,1,0,0,1,0,56,11751.0,36,0.0,11751.0,1539,1,3,6,0,0,3.397,17,3.25
0,1,0,3,0,4,1,0,0,0,1,35,8547.0,30,0.195,6881.0,1311,3,5,1,3,1666,1.163,33,2.0
0,0,0,1,0,4,1,0,1,0,0,57,2436.0,48,0.27899999999999997,1756.0,1570,2,5,2,2,680,1.19,29,0.611
0,1,0,4,1,4,1,0,0,0,1,44,4234.0,37,0.23,3262.0,1348,4,5,1,2,972,1.7069999999999999,27,1.7
0,1,0,4,0,5,1,0,0,1,0,48,30367.0,36,0.078,28005.0,1671,4,6,2,3,2362,1.7080000000000002,27,0.929
0,1,0,4,1,4,1,0,1,0,0,41,13535.0,34,0.095,12244.0,1028,3,4,4,1,1291,0.653,21,1.625
0,1,0,2,0,2,1,0,1,0,0,61,3193.0,56,0.7879999999999999,676.0,1336,1,2,2,3,2517,1.831,30,1.143
0,0,1,1,0,4,1,0,1,0,0,45,14470.0,37,0.08,13313.0,1207,2,6,1,2,1157,0.966,21,0.909
0,1,0,3,0,6,1,1,0,0,0,47,20979.0,42,0.086,19179.0,1178,1,5,2,0,1800,0.9059999999999999,27,0.929
1,0,0,1,0,4,1,0,1,0,0,62,1438.3,49,0.0,1438.3,692,0,2,3,3,0,1.047,16,0.6
0,1,0,2,0,2,1,0,1,0,0,41,4470.0,33,0.152,3790.0,931,3,4,2,1,680,1.608,18,1.571
0,0,0,1,1,4,1,0,0,1,0,47,2492.0,36,0.626,932.0,1126,4,3,3,2,1560,0.573,23,0.353
0,1,0,4,1,4,1,0,1,0,0,54,12217.0,42,0.0,12217.0,1110,2,4,2,3,0,1.075,21,0.75
0,0,0,1,0,4,1,0,0,1,0,41,7768.0,28,0.215,6099.0,1051,3,6,1,2,1669,0.797,22,0.833
0,1,0,2,0,2,1,0,0,0,1,59,14784.0,46,0.09300000000000001,13410.0,1197,1,4,1,2,1374,0.9209999999999999,23,1.3
0,1,0,3,1,4,1,0,1,0,0,63,10215.0,56,0.099,9205.0,1904,1,3,3,2,1010,0.843,40,1.0
0,0,1,1,0,1,1,0,0,1,0,44,10100.0,34,0.0,10100.0,1052,3,5,2,2,0,0.525,18,1.571
0,1,0,2,0,2,1,0,1,0,0,47,4785.0,42,0.285,3423.0,1045,4,6,0,0,1362,0.7390000000000001,38,0.9
0,1,0,4,1,4,1,0,1,0,0,53,2753.0,33,0.6579999999999999,942.0,1038,3,3,2,3,1811,0.977,25,2.571
0,1,0,3,0,1,1,0,1,0,0,53,2451.0,48,0.69,761.0,1596,2,2,5,1,1690,1.3230000000000002,26,1.6
0,1,0,3,0,4,1,0,1,0,0,41,8923.0,36,0.282,6406.0,1589,4,4,1,2,2517,1.726,24,1.6669999999999998
0,0,0,1,0,3,1,0,1,0,0,53,2650.0,38,0.562,1160.0,1411,2,5,2,3,1490,1.75,28,1.0
0,1,0,4,0,4,1,0,1,0,0,58,12555.0,49,0.135,10859.0,1291,0,6,2,2,1696,0.519,24,0.7140000000000001
0,0,0,1,0,3,1,0,0,1,0,55,3520.0,36,0.544,1606.0,1407,1,4,2,1,1914,0.51,43,0.483
0,0,0,1,0,4,1,0,1,0,0,55,3035.0,36,0.757,737.0,1877,3,6,2,3,2298,1.724,37,1.176
0,0,0,1,0,2,2,0,1,0,0,42,15433.0,36,0.0,15433.0,966,4,2,3,3,0,0.865,22,1.2
0,0,0,2,0,4,1,0,0,0,1,57,3672.0,49,0.24100000000000002,2786.0,1464,1,3,3,2,886,1.32,28,0.556
1,0,1,1,0,6,1,0,1,0,0,66,7882.0,56,0.077,7277.0,704,0,5,4,3,605,1.052,16,0.14300000000000002
0,1,0,4,0,4,1,0,0,1,0,45,32426.0,41,0.018000000000000002,31848.0,1109,3,2,2,2,578,1.042,28,0.474
0,1,0,2,1,4,1,0,1,0,0,51,6205.0,44,0.355,4001.0,1347,2,4,1,0,2204,0.8029999999999999,28,0.556
0,0,0,2,0,3,4,0,0,1,0,50,17304.0,43,0.145,14787.0,1756,1,3,2,3,2517,1.449,33,1.2
0,1,0,3,0,2,1,0,1,0,0,49,3906.0,37,0.0,3906.0,1756,3,5,2,1,0,1.214,32,1.0
0,0,1,1,0,4,1,0,0,1,0,38,9830.0,28,0.209,7775.0,1042,4,2,3,3,2055,0.977,23,0.917
0,1,0,4,0,1,1,0,0,1,0,49,34516.0,30,0.0,34516.0,1444,4,3,2,3,0,1.621,28,1.3330000000000002
0,1,0,3,0,6,1,0,1,0,0,56,2283.0,45,0.626,853.0,1741,2,6,2,0,1430,2.316,27,0.588
0,1,0,2,0,6,1,0,1,0,0,59,2548.0,52,0.7929999999999999,528.0,1719,1,3,2,2,2020,2.3569999999999998,27,1.7
0,1,0,4,0,2,1,0,1,0,0,46,19458.0,40,0.07400000000000001,18023.0,1217,3,4,3,3,1435,0.787,27,0.8
