,is_good
862,0
104,0
1095,0
204,1
485,0
325,1
1393,0
583,1
297,0
811,1
746,1
208,0
1446,0
1169,1
840,1
1386,0
1150,1
176,0
1478,0
1417,1
4,0
1341,1
1212,1
422,0
671,0
992,1
1241,0
1475,1
1316,1
894,1
625,0
1444,1
319,1
977,0
1496,0
122,0
1279,1
1182,1
1118,1
660,1
227,0
1179,1
1049,1
861,1
1215,1
1125,1
154,0
1052,0
823,0
1119,0
426,1
1530,1
1229,0
132,0
1360,0
1014,1
901,1
858,1
630,1
1097,0
112,0
1534,1
651,0
1226,0
1567,0
1358,0
669,1
886,1
887,1
662,1
845,0
1236,1
730,0
101,1
1269,1
121,1
1397,0
1458,0
1146,1
316,0
949,1
1096,1
1201,1
786,0
64,0
1055,1
1407,1
1255,0
1099,0
47,0
1370,0
1031,1
203,0
868,1
1394,0
530,1
242,1
654,0
590,0
391,1
1262,0
1372,0
98,0
38,0
302,0
3,1
182,0
167,0
566,1
924,0
528,1
479,1
938,1
1452,1
1107,1
532,0
1120,1
68,0
86,1
443,1
1039,1
1355,0
174,0
1093,1
1332,1
919,1
191,1
1298,1
1518,0
436,1
917,1
646,0
971,1
1330,1
560,0
854,1
476,0
826,1
876,0
310,1
800,0
1457,0
1016,1
1091,1
59,1
1023,1
749,1
750,0
21,0
372,1
453,1
1352,0
1074,0
908,1
223,1
212,1
968,1
1578,1
494,1
164,0
879,0
641,0
1079,1
584,1
610,0
647,0
884,1
457,0
1383,0
1200,1
1133,1
921,1
335,1
632,1
1189,0
784,0
207,0
699,1
1056,1
769,0
107,0
686,0
397,1
1322,0
1117,1
1248,1
843,0
1267,1
875,1
1076,1
802,1
235,1
961,0
818,0
1149,1
1057,0
717,0
284,0
967,0
1044,1
792,1
414,0
1170,1
1282,1
473,0
1186,0
1321,1
1560,0
781,0
809,1
268,1
333,0
369,1
936,1
142,1
165,0
1309,0
497,0
988,0
652,0
1513,1
1310,0
382,1
89,0
762,1
587,0
667,1
278,1
2,0
327,0
1012,0
1597,0
1505,0
448,1
1040,0
1115,1
427,1
247,0
568,1
777,1
575,1
1171,1
1379,1
1537,1
940,1
365,1
6,0
163,0
344,1
383,1
1506,1
1395,1
138,0
330,1
1561,0
628,1
173,1
615,0
806,1
315,1
616,0
186,0
106,0
32,0
37,1
1114,1
677,0
196,0
471,1
1174,1
1271,1
1486,0
96,0
1024,1
1042,1
1548,0
368,0
1418,0
209,1
644,0
745,1
455,1
1564,0
507,1
480,0
55,0
856,1
1266,1
1327,1
1562,0
109,0
726,1
1454,1
1485,0
701,1
1510,1
23,0
339,1
359,1
535,1
525,0
675,0
1571,1
1032,0
1011,1
332,1
171,1
897,1
767,0
79,0
562,0
939,0
1479,0
1289,0
1105,0
318,1
11,0
1476,0
716,0
1196,1
1526,1
459,0
324,1
87,0
780,1
739,0
1408,1
580,0
82,0
410,1
1390,1
585,1
703,0
1009,0
1378,1
1448,0
412,0
1497,1
914,1
648,1
43,0
1519,0
981,0
31,1
642,0
720,0
185,0
1415,0
432,1
877,1
813,0
1159,0
653,1
790,1
1243,0
1121,1
1451,1
964,1
970,1
1132,1
1249,1
328,1
815,0
851,0
842,1
1073,1
928,0
161,0
1165,0
556,1
380,1
1151,1
549,1
533,1
386,1
829,1
1065,1
812,0
1516,0
607,1
588,1
229,0
613,0
520,1
187,0
433,0
516,1
1477,1
175,0
1587,1
192,0
273,0
526,0
801,0
548,1
322,0
169,0
166,0
1419,0
1456,1
408,1
1005,1
262,0
573,0
67,0
294,1
650,0
1152,0
505,1
1472,1
1515,1
685,0
1037,0
1153,1
849,0
554,0
552,1
1207,0
512,1
1369,0
1388,0
272,0
881,1
1072,1
301,1
1403,1
810,0
1006,1
1498,1
565,0
1158,1
1244,1
1325,1
1294,1
1246,0
189,0
1181,0
714,0
486,0
114,0
1540,1
370,0
249,1
1086,1
1416,0
1216,1
902,1
230,1
1154,1
754,1
26,0
713,0
709,1
515,0
1193,0
1480,0
707,0
795,0
1296,0
131,0
831,1
775,0
1007,1
1359,1
156,0
1103,1
1333,0
1536,1
688,0
470,0
1128,0
1205,1
71,0
1523,0
1131,0
643,0
423,1
1063,1
599,1
658,1
731,0
1302,1
602,0
62,1
314,0
266,0
509,1
1045,1
1268,1
1129,1
866,1
1435,1
574,1
1156,1
1020,1
260,0
1471,0
355,1
518,1
395,1
1213,1
1314,1
400,0
228,1
925,1
124,0
1245,0
623,1
201,0
1138,0
1284,0
705,0
1098,1
889,0
1123,1
697,1
289,0
898,1
1572,0
35,1
